Filename,Words,AWL,TTR,LDE,NTotal,VBTotal,ABLE,ACT,AMP,ASPECT,BEMA,CAUSE,CC,CD,COMM,CONC,COND,CONT,CUZ,DEMO,DMA,DOAUX,DT,ELAB,EMPH,EX,EXIST,FPP1P,FPP1S,FPPAll,FREQ,HDG,HGOT,IN,INother,JJAT,JJATDother,JJATother,JJDESCAll,JJEPSTother,JJEVAL,JJPR,JJPRother,JJREL,JJSIZE,JJTIME,MDCA,MDCO,MDMM,MDNE,MDPOSSCAll,MDPREDAll,MDWO,MDWS,MDother,MENTAL,NCOMP,NN,NNABSPROC,NNCOG,NNCONC,NNGRP,NNHUMAN,NNP,NNPLACE,NNQUANT,NNTECH,NNother,NOMZ,NSTNCother,OCCUR,PASS,PASSAll,PEAS,PGET,PIT,PLACE,POS,PROG,PrepNSTNC,QUAN,RB,RBother,RNONFACT,RP,RSTNCAll,SPLIT,SPP2,STPR,THATD,THRC,THRCother,THSC,THSCother,TIME,TPP3P,TPP3S,ThJFCT,ThJSTNCAll,ThSTNCAll,ThVATT,ThVCOMM,ThVFCT,ThVSTNCAll,ToJCRTN,ToJEVAL,ToJSTNCAll,ToNSTNC,ToSTNCAll,ToThNSTNCAll,ToVDSR,ToVPROB,ToVSTNCAll,URL,VBD,VBG,VBN,VPRT,WHSC,WHSCother,WhVFCT,WhVLIK,WhVSTNCAll,XX0,DWNT,EMO,FPUH,GTO,JJCOLR,JJTOPIC,POLITE,QUPR,RFACT,ToJEASE,ToVEFRT,VFCTother,VIMP,ToJABL,WHQU,YNQU,GW,HST,NNMention,ToJEFCT,ThVLIK,WDT,WhVCOM,QUTAG,VLIKother,ThNLIK,ThNSTNCAll,ToVMNTL,VATTother,ThNATT,ToVSPCH,ThJEVL,WhVATT,RLIKELY,ThJATT,ThJLIK,WP,ThNNFCT
USA-WBF184.txt,2325,4.7247,0.5325,0.5028,687,217,0.0092,0.3963,0.006,0.023,0.1843,0.0138,0.4747,0.0344,0.1198,0.0046,0.0276,0.1244,0.023,0.0108,0.0017,0.0276,0.2445,0.0046,0.0034,0.0184,0.0369,0.1567,0.1705,0.3272,0.023,0.0022,0.0046,0.1333,0.1282,0.1616,0.0015,0.1208,0.0058,0.0015,0.0073,0.1843,0.1613,0.0131,0.0058,0.016,0.0138,0.0184,0.0092,0.0599,0.0415,0.106,0.0276,0.0783,0.0092,0.1797,0.1033,0.2955,0.0917,0.0102,0.0335,0.0073,0.032,0.3261,0.0291,0.0393,0.0044,0.0877,0.0146,0.0131,0.0461,0.0876,0.1014,0.0876,0.0138,0.1014,0.0461,0.0277,0.0737,0.0044,0.0408,0.0198,0.0172,0.0004,0.0369,0.0004,0.0415,0.023,0.0138,0.0184,0.0507,0.0507,0.0922,0.0415,0.0369,0.0461,0.0461,0.0046,0.0046,0.0047,0.023,0.0138,0.0184,0.0461,0.0009,0.0004,0.0013,0.0015,0.003,0.0004,0.0092,0.0046,0.0138,0.0009,0.1659,0.2074,0.1014,0.6267,0.129,0.1152,0.0092,0.0046,0.0138,0.0783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD-WBS216.txt,2441,4.8648,0.45,0.5367,847,189,0.0106,0.4497,0.0025,0.0741,0.1958,0.0741,0.545,0.0193,0.0847,0.0,0.0317,0.0,0.0053,0.0123,0.0012,0.0053,0.1712,0.0106,0.0061,0.0053,0.0423,0.127,0.0212,0.1481,0.037,0.0012,0.0053,0.1438,0.1389,0.111,0.0012,0.0779,0.0094,0.0024,0.0035,0.1534,0.1164,0.0083,0.0083,0.0012,0.0265,0.0,0.0106,0.0106,0.037,0.0741,0.0212,0.0476,0.0053,0.1164,0.1464,0.347,0.1393,0.0035,0.0236,0.0189,0.0555,0.2893,0.0153,0.0378,0.0165,0.0713,0.0437,0.0059,0.0423,0.1217,0.1323,0.1058,0.0106,0.1429,0.0529,0.0083,0.1111,0.0024,0.0342,0.0156,0.0135,0.0,0.0688,0.0004,0.0688,0.3439,0.0053,0.0212,0.0159,0.0159,0.0212,0.0053,0.0476,0.1058,0.1429,0.0,0.0,0.0012,0.0,0.0053,0.0106,0.0159,0.0,0.0,0.0008,0.0,0.0025,0.0,0.0159,0.0,0.0212,0.0008,0.3069,0.2381,0.0952,0.5661,0.1905,0.1905,0.0,0.0,0.0,0.0423,0.0004,0.0012,0.0029,0.0053,0.0012,0.0083,0.0025,0.0212,0.0004,0.0008,0.0053,0.0212,0.0106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-WBS430.txt,3079,4.9172,0.5075,0.5235,960,252,0.0,0.3016,0.0019,0.0595,0.1468,0.0556,0.6548,0.0192,0.123,0.0159,0.0278,0.004,0.0079,0.0084,0.001,0.0317,0.2135,0.0198,0.0026,0.0119,0.0476,0.2103,0.123,0.3333,0.0238,0.0003,0.0,0.1481,0.1419,0.1562,0.0031,0.124,0.0031,0.0021,0.0021,0.1548,0.119,0.0115,0.0031,0.0167,0.0675,0.0,0.0198,0.0278,0.0873,0.1468,0.0159,0.119,0.004,0.1071,0.0948,0.3118,0.149,0.0042,0.0104,0.0177,0.074,0.3094,0.0146,0.0156,0.0094,0.0715,0.049,0.0208,0.0556,0.0714,0.0833,0.0714,0.0119,0.1389,0.0238,0.0104,0.0317,0.0094,0.0469,0.0149,0.0136,0.0,0.0198,0.0,0.0476,0.1071,0.0,0.004,0.0556,0.0556,0.0437,0.0159,0.0278,0.1429,0.0714,0.0079,0.0079,0.0023,0.004,0.0119,0.0079,0.0198,0.0,0.0003,0.001,0.0021,0.0032,0.0006,0.0159,0.004,0.0198,0.0026,0.1627,0.1944,0.0675,0.5873,0.0913,0.0833,0.0079,0.0,0.0079,0.0952,0.0006,0.0003,0.0078,0.0119,0.0,0.0031,0.001,0.0198,0.0,0.0003,0.0,0.0198,0.0,0.0003,0.0079,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-TWT133.txt,2377,5.6605,0.6525,0.6285,798,173,0.0,0.3179,0.0017,0.0462,0.1792,0.0462,0.3353,0.0227,0.1329,0.0,0.0116,0.0636,0.0289,0.008,0.0063,0.0173,0.1591,0.0058,0.0059,0.0173,0.0636,0.1098,0.0636,0.1734,0.0925,0.0,0.0058,0.1027,0.0989,0.1366,0.015,0.094,0.005,0.0013,0.0163,0.3179,0.2312,0.0063,0.005,0.0113,0.0405,0.0173,0.0462,0.0231,0.104,0.0809,0.0116,0.0694,0.0116,0.2197,0.0764,0.3357,0.0639,0.0088,0.0401,0.0038,0.0564,0.3246,0.0113,0.0226,0.0163,0.0812,0.0213,0.0038,0.052,0.1156,0.1272,0.0578,0.0116,0.0809,0.0405,0.0088,0.0289,0.0025,0.0313,0.0164,0.0135,0.0,0.0231,0.0008,0.0578,0.1965,0.0058,0.0173,0.0173,0.0173,0.0058,0.0,0.0983,0.0636,0.1387,0.0,0.0,0.0004,0.0,0.0058,0.0,0.0058,0.0,0.0,0.0008,0.0,0.0021,0.0,0.0116,0.0,0.0173,0.0311,0.2197,0.1272,0.1445,0.526,0.1214,0.1156,0.0,0.0058,0.0058,0.1734,0.0008,0.0084,0.0097,0.0,0.0,0.0,0.0059,0.0694,0.0008,0.0,0.0058,0.0058,0.0462,0.0,0.0058,0.0004,0.008,0.037,0.1153,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-TWT408.txt,2510,4.8869,0.6275,0.5155,706,271,0.0,0.3506,0.0016,0.0221,0.214,0.0111,0.2177,0.0096,0.0996,0.0111,0.059,0.0,0.0111,0.0131,0.004,0.1181,0.2606,0.0111,0.008,0.0185,0.0185,0.0849,0.0996,0.1845,0.0258,0.0028,0.0,0.0968,0.0916,0.1091,0.0127,0.0595,0.0028,0.0014,0.0212,0.1402,0.0812,0.0184,0.0014,0.0057,0.0443,0.0295,0.0074,0.059,0.0812,0.1328,0.0332,0.0996,0.0074,0.2251,0.0552,0.2813,0.0453,0.0028,0.0354,0.017,0.0609,0.1006,0.0269,0.0368,0.0085,0.0773,0.0156,0.0042,0.059,0.0406,0.0406,0.0332,0.0,0.1255,0.0185,0.0014,0.0701,0.0014,0.0552,0.0347,0.0319,0.0,0.0221,0.0016,0.0886,0.1587,0.0037,0.0554,0.0037,0.0037,0.0258,0.0148,0.0627,0.1144,0.0959,0.0,0.0,0.0012,0.0037,0.0074,0.0074,0.0111,0.0,0.0,0.0008,0.0,0.004,0.0,0.0221,0.0,0.0295,0.0064,0.1476,0.107,0.0443,0.5609,0.1587,0.1476,0.0074,0.0037,0.0111,0.0517,0.0008,0.0143,0.0076,0.0,0.0014,0.0,0.0036,0.0295,0.0016,0.0008,0.0074,0.0,0.0185,0.0,0.0295,0.0068,0.002,0.0183,0.3144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-WBS056.txt,3045,5.0791,0.5975,0.5655,1062,303,0.0,0.2706,0.0016,0.0198,0.1815,0.0132,0.4191,0.0332,0.1716,0.0033,0.0033,0.0099,0.0297,0.0125,0.0007,0.0033,0.2298,0.0066,0.0023,0.033,0.0528,0.0792,0.0264,0.1056,0.0099,0.0003,0.0,0.1169,0.111,0.1535,0.0009,0.1139,0.0075,0.0132,0.0009,0.1353,0.0957,0.0075,0.0075,0.0085,0.0231,0.0099,0.0132,0.0198,0.0462,0.099,0.0066,0.0924,0.0066,0.1122,0.1055,0.3488,0.1045,0.0056,0.0254,0.0207,0.0339,0.3653,0.0264,0.0386,0.0019,0.0749,0.0443,0.0151,0.0396,0.1056,0.1056,0.0429,0.0,0.1155,0.0099,0.0075,0.0264,0.0028,0.0301,0.0174,0.0154,0.0003,0.033,0.0007,0.0429,0.0198,0.0,0.0066,0.0066,0.0066,0.0264,0.0099,0.0759,0.0528,0.0363,0.0,0.0,0.0016,0.0033,0.0099,0.0,0.0165,0.0,0.0007,0.0007,0.0009,0.0046,0.0003,0.0264,0.0066,0.0363,0.0026,0.2673,0.1122,0.1056,0.5314,0.1056,0.099,0.0066,0.0,0.0066,0.0429,0.0007,0.003,0.0016,0.0,0.0,0.0122,0.0003,0.0132,0.0003,0.0,0.0033,0.0033,0.0363,0.0,0.0066,0.0,0.0,0.0,0.0009,0.0,0.0033,0.0003,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LK-WBF439.txt,2137,4.2578,0.5825,0.4778,525,261,0.0038,0.2529,0.0014,0.0077,0.1801,0.0,0.2912,0.0234,0.1379,0.0077,0.0613,0.0805,0.0077,0.0178,0.0098,0.0536,0.3124,0.0115,0.0042,0.0307,0.0498,0.0268,0.2146,0.2414,0.046,0.0023,0.0,0.1006,0.0964,0.1486,0.0019,0.08,0.0038,0.0114,0.0476,0.1533,0.1073,0.0114,0.0019,0.0114,0.0345,0.0153,0.0268,0.0345,0.0766,0.0843,0.046,0.0383,0.0077,0.2107,0.1276,0.2457,0.0686,0.0152,0.1162,0.0019,0.0648,0.1657,0.021,0.0419,0.0057,0.0796,0.0229,0.0152,0.023,0.0536,0.0766,0.0345,0.023,0.1341,0.0498,0.0038,0.0268,0.0038,0.0533,0.0234,0.0211,0.0,0.046,0.0,0.023,0.092,0.0,0.0728,0.0115,0.0115,0.0192,0.0153,0.046,0.0766,0.0536,0.0,0.0,0.0005,0.0,0.0038,0.0,0.0038,0.0,0.0,0.0005,0.0019,0.0033,0.0005,0.0153,0.0,0.0192,0.0009,0.2107,0.1648,0.0805,0.5747,0.1303,0.1226,0.0038,0.0,0.0077,0.1303,0.0005,0.0,0.0098,0.0,0.0019,0.0,0.0033,0.0345,0.0,0.0005,0.0038,0.0421,0.0192,0.0,0.0268,0.0019,0.0,0.0009,0.0,0.0,0.0,0.0,0.0038,0.0038,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PK-WBS393.txt,3357,4.4447,0.5925,0.499,889,281,0.0,0.5089,0.0036,0.0249,0.1851,0.0391,0.6228,0.0089,0.0925,0.0107,0.0285,0.0,0.0142,0.0098,0.0015,0.0356,0.2891,0.0036,0.0083,0.0249,0.0498,0.032,0.0285,0.0605,0.0285,0.0018,0.0,0.112,0.1075,0.2058,0.0022,0.1496,0.0146,0.009,0.0112,0.2776,0.2313,0.0169,0.0146,0.0112,0.089,0.0142,0.0142,0.0249,0.1174,0.0925,0.0107,0.0819,0.0427,0.1815,0.1597,0.2648,0.0799,0.0124,0.0866,0.0124,0.0517,0.09,0.018,0.0427,0.009,0.1108,0.0146,0.0045,0.0391,0.0676,0.0783,0.0214,0.0107,0.1174,0.121,0.0169,0.0178,0.0034,0.1024,0.025,0.0185,0.0009,0.0925,0.0015,0.0961,0.5445,0.0,0.0178,0.0676,0.0641,0.0463,0.0214,0.032,0.1032,0.0214,0.0036,0.0036,0.0018,0.0,0.0142,0.0071,0.0142,0.0,0.0003,0.0006,0.0011,0.0036,0.0006,0.0214,0.0036,0.032,0.0,0.0712,0.2171,0.0925,0.6157,0.0819,0.0819,0.0,0.0,0.0,0.0676,0.0,0.0,0.0006,0.0,0.0,0.0022,0.0,0.0925,0.0006,0.0,0.0036,0.0107,0.0783,0.0003,0.0036,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178,0.0011,0.0011,0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK-TWT333.txt,2717,5.8774,0.7175,0.594,864,202,0.0,0.3614,0.0029,0.0099,0.2228,0.0347,0.3218,0.018,0.1238,0.0099,0.0297,0.0099,0.0099,0.0125,0.0033,0.0545,0.1794,0.0149,0.0081,0.0347,0.0198,0.0792,0.2772,0.3564,0.0644,0.0007,0.0,0.0972,0.0905,0.103,0.0069,0.0718,0.0035,0.0046,0.0162,0.297,0.2079,0.0058,0.0035,0.0058,0.0545,0.0149,0.0099,0.0198,0.0792,0.0396,0.0099,0.0297,0.0198,0.1832,0.0787,0.318,0.0556,0.0069,0.0185,0.0046,0.0405,0.2315,0.0127,0.0266,0.0058,0.0828,0.0312,0.0058,0.0545,0.0545,0.0545,0.0495,0.0,0.1287,0.0446,0.0104,0.0644,0.0035,0.0208,0.0247,0.0191,0.0004,0.0792,0.0018,0.0594,0.198,0.0149,0.0198,0.0099,0.0099,0.0,0.0,0.0842,0.0594,0.0891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0029,0.0012,0.0044,0.0004,0.0099,0.0,0.0149,0.0313,0.2228,0.1634,0.1089,0.5941,0.1337,0.1287,0.005,0.0,0.005,0.1535,0.0,0.0202,0.0026,0.0,0.0,0.0023,0.0026,0.0347,0.0015,0.0004,0.005,0.005,0.0446,0.0007,0.0446,0.0037,0.0033,0.0405,0.2326,0.0011,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA-TWT261.txt,2435,4.823,0.65,0.577,676,237,0.0,0.4093,0.0016,0.0211,0.2194,0.0422,0.2068,0.0152,0.1266,0.0127,0.0506,0.0127,0.0,0.0156,0.0057,0.0506,0.1213,0.0,0.0181,0.0042,0.0253,0.0295,0.4346,0.4641,0.0549,0.0,0.0042,0.0752,0.0719,0.1331,0.0148,0.071,0.0118,0.0074,0.0251,0.2447,0.1857,0.0089,0.0044,0.0104,0.0211,0.0042,0.0042,0.038,0.0295,0.0211,0.0042,0.0084,0.0422,0.2405,0.1198,0.2776,0.0459,0.0,0.0547,0.0044,0.0385,0.1183,0.0133,0.0503,0.003,0.0982,0.003,0.0133,0.0127,0.0042,0.0127,0.0127,0.0084,0.1055,0.0338,0.0015,0.0422,0.0,0.0621,0.0394,0.0312,0.0004,0.0886,0.0008,0.0633,0.3122,0.0,0.0127,0.0127,0.0127,0.0042,0.0042,0.1013,0.0338,0.0802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0004,0.0,0.0025,0.0,0.0127,0.0,0.0211,0.0312,0.211,0.1941,0.0675,0.6835,0.1181,0.1055,0.0084,0.0,0.0127,0.0802,0.0004,0.0209,0.0172,0.0084,0.0074,0.0015,0.0037,0.0675,0.0004,0.0,0.0042,0.0084,0.0253,0.0,0.0042,0.0008,0.0,0.0,0.176,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN-WBF265.txt,2242,4.1806,0.6175,0.5004,631,211,0.0047,0.2891,0.0036,0.0521,0.3223,0.0,0.4076,0.029,0.0474,0.019,0.0521,0.1991,0.0142,0.0134,0.0045,0.0332,0.1933,0.0142,0.0143,0.0284,0.0142,0.0806,0.2891,0.3697,0.0427,0.0022,0.0047,0.1048,0.1004,0.1791,0.0,0.1315,0.0127,0.0032,0.0317,0.2417,0.1754,0.0127,0.0111,0.0063,0.0047,0.0095,0.0237,0.0237,0.0379,0.0758,0.0142,0.0616,0.0095,0.218,0.0856,0.2814,0.0396,0.0048,0.1173,0.0143,0.0238,0.3724,0.0254,0.0349,0.0063,0.074,0.0111,0.0,0.0142,0.0569,0.0569,0.0758,0.0,0.1706,0.0521,0.0095,0.0474,0.0016,0.0681,0.0397,0.0299,0.0,0.0664,0.0013,0.0521,0.1517,0.0,0.0284,0.0237,0.0237,0.0142,0.0142,0.1137,0.0379,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0009,0.0,0.0031,0.0,0.0237,0.0,0.0237,0.0,0.1991,0.1564,0.0664,0.6588,0.09,0.0758,0.0142,0.0,0.0142,0.128,0.0018,0.0013,0.012,0.0,0.0016,0.0016,0.0013,0.0521,0.0013,0.0004,0.0,0.0142,0.0047,0.0,0.0095,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UK-WBS045.txt,2859,4.4495,0.535,0.4138,554,258,0.0078,0.2636,0.0049,0.0233,0.2558,0.0388,0.5194,0.008,0.1047,0.031,0.0233,0.0,0.0155,0.0108,0.0024,0.0426,0.3845,0.0155,0.007,0.0155,0.062,0.0426,0.6705,0.7132,0.062,0.0017,0.0078,0.1431,0.1322,0.2942,0.0108,0.2112,0.0162,0.0162,0.0162,0.3488,0.2907,0.0271,0.0144,0.0072,0.0349,0.0271,0.0194,0.0116,0.0814,0.062,0.0388,0.0194,0.0,0.2132,0.0632,0.1938,0.157,0.0289,0.0415,0.0036,0.13,0.0686,0.0072,0.0614,0.0108,0.0654,0.0542,0.0289,0.0581,0.1047,0.1047,0.1705,0.0,0.1434,0.0194,0.0253,0.0465,0.0199,0.0596,0.0385,0.0336,0.0,0.0543,0.0021,0.1512,0.0271,0.0155,0.0194,0.0736,0.0698,0.1279,0.0775,0.0736,0.1008,0.0775,0.0,0.0,0.0049,0.0039,0.031,0.0271,0.0504,0.0003,0.0,0.0017,0.009,0.007,0.0021,0.0116,0.0116,0.0388,0.0,0.4806,0.2248,0.062,0.3605,0.1202,0.1163,0.0,0.0,0.0039,0.1628,0.0045,0.0,0.0003,0.0039,0.0018,0.0162,0.0003,0.0543,0.0021,0.0003,0.0116,0.0039,0.0078,0.0,0.0078,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0039,0.0,0.0,0.0,0.0018,0.0,0.0,0.0018,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
